 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
46,0.043333333,0.073333332,0.095555555,0.052222224,0.05111111,0.290000007,0.167777784,0.514444456,0.225555561,0.37111111,0.76111111,0.551111117,0.642222226,0.223333329,0.797777772,0.62111111,0.637777761,0.808888882,0.306666674,0.773333311
47,0.041111111,0.05888889,0.265555561,0.19111111,0.279999994,0.322222218,0.407777775,0.288888887,0.484444439,0.594444439,0.409999998,0.318888888,0.095555559,0.486666664,0.591111109,0.513333321,0.806666672,0.687777787,0.608888894,0.778888911
48,0.032222222,0.064444443,0.109999999,0.207777776,0.085555555,0.193333335,0.144444443,0.544444442,0.526666656,0.538888901,0.448888883,0.463333346,0.622222215,0.74777779,0.324444445,0.722222209,0.411111102,0.788888901,0.667777777,0.643333346
49,0.050000001,0.082222226,0.186666667,0.107777774,0.202222217,0.194444444,0.496666685,0.441111118,0.377777778,0.638888896,0.571111128,0.357777774,0.510000009,0.74666667,0.661111116,0.674444467,0.498888887,0.559999987,0.73888889,0.816666663
50,0.073333332,0.085555559,0.085555557,0.149999999,0.153333332,0.09,0.233333331,0.375555564,0.614444435,0.259999998,0.700000018,0.530000001,0.665555567,0.230000004,0.664444447,0.448888902,0.597777784,0.861111104,0.698888898,0.891111135
51,0.063333333,0.063333334,0.079999997,0.110000001,0.396666661,0.484444439,0.390000015,0.367777786,0.456666663,0.657777786,0.346666664,0.497777767,0.584444448,0.462222226,0.581111103,0.74444446,0.712222219,0.683333337,0.705555558,0.764444441
52,0.064444445,0.042222222,0.081111113,0.28444444,0.158888889,0.24666667,0.398888901,0.326666668,0.306666657,0.100000001,0.838888884,0.703333348,0.474444449,0.828888893,0.485555559,0.439999994,0.608888879,0.778888911,0.611111104,0.789999992
53,0.067777779,0.071111111,0.079999998,0.161111113,0.208888892,0.442222223,0.32444445,0.527777791,0.693333328,0.566666678,0.687777758,0.620000005,0.472222216,0.588888884,0.623333335,0.811111093,0.73777777,0.523333311,0.599999994,0.864444464
54,0.046666668,0.043333333,0.156666666,0.197777778,0.157777779,0.092222225,0.705555558,0.356666654,0.554444447,0.722222209,0.780000001,0.448888883,0.733333349,0.62888889,0.75333333,0.781111121,0.701111108,0.799999982,0.512222216,0.826666653
55,0.066666665,0.057777775,0.118888892,0.047777779,0.072222224,0.387777783,0.482222237,0.581111118,0.426666662,0.536666676,0.620000005,0.577777773,0.840000004,0.449999984,0.785555571,0.444444448,0.717777759,0.659999996,0.75777778,0.801111132
